供应商ID,基线排放,配合度得分,行业类型,财务能力,技术采用水平,监测就绪度,成本敏感度,自我激励度,象限分类,优先级,建议策略
SUP_D_1927,5979.865433968196,4,Finishing,0.8435124025764851,0.38884222826851417,0.22422564528610126,0.8832924082450443,0.180654158538771,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_251,7072.434422266274,3,Accessories,0.4400131154822886,0.25418157597387053,0.5122017935001577,0.6045528562265801,0.14609189979784415,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_585,5415.825682553197,5,Finishing,0.7978880304465432,0.21321753142149635,0.5888834037040026,0.9380441311004908,0.28751829818563407,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1568,4340.404432980472,3,Finishing,0.4272765825399487,0.3082926799888647,0.5960099656492703,0.6942186422011972,0.3705167364680457,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_824,6853.716237898208,4,Accessories,0.47010268327475613,0.39636121652341716,0.4782165407270349,0.633339993060052,0.21029357285908598,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_507,6861.67653641548,4,Finishing,0.3303137270929751,0.3544826644012875,0.20145759847870748,0.8736926742221586,0.3064163057989753,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_889,5791.934513755741,4,Accessories,0.8405913144617463,0.29772910150731224,0.20462748586417612,0.6538102146856465,0.13022941215076633,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_070,2502.0927097367044,2,Finishing,0.3513668095120104,0.2996025166306061,0.5856462907750297,0.8313562534640421,0.10617071685610244,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1608,4009.6993493003347,5,Accessories,0.8643633438619658,0.17808709291185743,0.32552022376621415,0.857682808965252,0.1077414581745495,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1532,4851.677843357803,4,Accessories,0.4412546724495372,0.1590670431670104,0.35016461836348495,0.8040077084454355,0.3426114248289824,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_247,3888.0009849157623,2,Finishing,0.4551325418438981,0.15908640089964746,0.3962638461826426,0.6800951764030313,0.1882933277317961,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1450,6604.085344716951,3,Packaging,0.5330520235402627,0.3825707793692059,0.3114594132110116,0.8778773342322823,0.3299955054862211,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_212,2398.4295616204035,4,Small Parts,0.2944132478654619,0.2976228071336012,0.32496206860315374,0.7727472885421341,0.2863473513275283,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_909,3063.417647021799,5,Accessories,0.8012933105197845,0.20865210274880217,0.4426844107918692,0.7277597853834642,0.22837568324355265,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1741,2615.2241368705186,5,Small Parts,0.7527609176344923,0.29801540233156554,0.2683128381033447,0.7775439280901988,0.29382377264358006,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1244,3501.587364514379,3,Packaging,0.4195374261686639,0.38316037892559396,0.5441040898929144,0.7150933646235598,0.1794522110697508,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1696,2319.711637119122,2,Accessories,0.5288600464234843,0.14491661478893805,0.47668724499905124,0.6634733255101086,0.15298580377739465,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1182,1601.876450776616,5,Packaging,0.3488786133002763,0.25287025532849866,0.5721547881751119,0.7999394083146409,0.24067906212153792,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_361,1838.1351195078596,5,Small Parts,0.512881801628509,0.33102776168772663,0.3841079389655021,0.6083440041168522,0.2432152640622135,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1473,4483.5339165576515,2,Small Parts,0.7844680619119129,0.10766792999062881,0.21290725299954216,0.6112601382777845,0.38432439527393586,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_678,1940.5683931914305,5,Finishing,0.4827976082270703,0.37344616157043686,0.40281848518676716,0.7880414462265809,0.3240524320929826,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1621,4632.402497409589,2,Finishing,0.5084980557415515,0.2803150943606324,0.5112254588659507,0.7829135827377666,0.23877772739219988,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1089,4195.165361599901,4,Accessories,0.547865157182931,0.13061289954239025,0.44584887192662437,0.6659734264953296,0.1869139562844541,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1987,5850.486134100985,4,Accessories,0.8992101828350021,0.3930285213449417,0.2136729771066591,0.7204351409422961,0.2394481356014689,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1847,5490.929281750466,5,Finishing,0.2383039486529418,0.2774432023211108,0.5187944309261859,0.7541721189854301,0.13123231255862328,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_987,1350.7468278785364,6,Finishing,0.7699700516778446,0.3841424400448659,0.27545901476435625,0.9494352150936312,0.27368001739304354,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1512,5387.774879489461,6,Finishing,0.3139519230355722,0.25018985714617176,0.303185480225978,0.8260415077437779,0.19601418813173246,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_111,2416.543553566612,4,Accessories,0.4553507192545394,0.27531773421658406,0.40798385057009,0.6341468386985574,0.210151649088893,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1487,4283.0355530887055,5,Accessories,0.2485845558082481,0.1190273797910014,0.37499603765694295,0.885532350136963,0.3951643002343064,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1453,7641.9017490404885,5,Accessories,0.3383425011540901,0.3922291674838609,0.48268366562374,0.8000421551724574,0.24286065837006998,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_383,4355.586948871783,4,Packaging,0.8495883800388007,0.11881137622095277,0.4133968699121578,0.6085083100239169,0.3491746759517757,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1395,2090.303696822056,2,Small Parts,0.5084048101246902,0.2620241704865033,0.35048909598883093,0.676805102042652,0.18290176640087444,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1054,2984.6453661946043,2,Packaging,0.7876296644485864,0.3807786134142938,0.5691539031395335,0.7388601328116086,0.2270874174959977,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_755,2597.770128243944,5,Finishing,0.5068923038064717,0.37270006062782374,0.46842254845071835,0.9030264462129165,0.17960362472372401,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_324,6939.923421415372,6,Small Parts,0.5288647724735724,0.31921256302046935,0.2597559814022165,0.8308415057432974,0.3777407386089754,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1623,1623.2940355253725,6,Finishing,0.6046749689316278,0.303863156585232,0.4336062308706386,0.8619841766924232,0.29908510526750304,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_787,3228.7938247992174,2,Small Parts,0.46289438717509895,0.3539842618571546,0.32895517587989287,0.6826449665595109,0.19963433234968858,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_368,3335.4643082976672,6,Packaging,0.7355349829080673,0.3741493268478132,0.4526066999380509,0.8358568880249262,0.18916993000524232,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1819,5338.035725657482,4,Packaging,0.44853269890728187,0.36888423138757664,0.41201261243972925,0.7244112497833086,0.29847720836964026,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_069,4057.0217246265365,2,Finishing,0.44294806672232523,0.3123404195775559,0.35463235206975574,0.8188792299618116,0.23605749609172252,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_857,7148.560136675612,5,Packaging,0.628835035155484,0.1726685232919481,0.41829672748245333,0.7108126503265776,0.12697728703431008,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1483,2595.774405562277,6,Accessories,0.652001590559077,0.2651955182981208,0.5240353843904356,0.6958421533683512,0.16544434476191122,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1555,6342.088428739303,4,Finishing,0.8437676914980956,0.14367929148505942,0.36375644932783724,0.8358264693038221,0.1258404534419661,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1691,7392.076252430455,4,Accessories,0.5573287657949856,0.1979899397285266,0.43006813972489305,0.6297414773188271,0.33877184442321057,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1474,4636.847186767858,2,Packaging,0.47836890932927373,0.18490579653215475,0.4387438753238072,0.7409937354501258,0.25376479975890853,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1798,4879.999100084996,4,Finishing,0.8580945132742579,0.140696247410725,0.423421116869732,0.8875883220017718,0.2290103567416346,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_478,5442.403821927841,6,Accessories,0.42504702656209153,0.2273668112481521,0.519263724302346,0.8645975172826856,0.13314586843545922,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_281,2270.4888671756685,6,Finishing,0.8943303783331458,0.12576123939710843,0.4417213717709797,0.6013017987735902,0.1371304602457551,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1647,6572.423133381097,6,Packaging,0.7714220175654315,0.1743231396048894,0.3299058386746333,0.8927929280604853,0.1868456195990298,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1556,7510.023431483021,2,Accessories,0.47583653369057066,0.30330211981316213,0.232997669179433,0.6110273404883725,0.16345686398249767,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1729,3775.0536475536846,4,Finishing,0.8275879905296132,0.2089714535943601,0.4596093622903398,0.7721867102002369,0.34477299120972077,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_210,5859.8370495002055,2,Packaging,0.861832203019167,0.25427851890508607,0.44647469895433206,0.8543598425624728,0.3255999593324484,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_297,6614.181161915155,5,Finishing,0.8538288343952897,0.12377004670208792,0.5504557947347014,0.6798184054016139,0.15886608954545975,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1884,3334.8494853484876,2,Finishing,0.8264956222291654,0.24991055790888508,0.5676142600927603,0.8735974045040341,0.2598892673017595,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1833,2266.1910122546324,3,Finishing,0.6791010289764258,0.270400292559441,0.2627054846181817,0.6814077553414274,0.34721115963064203,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_651,7269.444169685878,6,Accessories,0.7606686695531593,0.16673362521750243,0.410958381625781,0.6930274628039508,0.3272790683346209,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1233,5756.689064462705,2,Finishing,0.39258195364354437,0.2823573738549673,0.22984172326307428,0.6705957883408835,0.22768100466950925,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1502,3596.3862507916842,2,Accessories,0.3197274687787577,0.1485809060135169,0.29708543393320347,0.7708544580966217,0.13926351861959274,IV-观察区,低,基础管理-自动监测-简化要求
SUP_D_1931,5272.82876422015,4,Packaging,0.7521556758695439,0.18437608425747368,0.4292104795014371,0.6697997555291252,0.13070405438673527,IV-观察区,低,基础管理-自动监测-简化要求
